Licensee,DBA,License #,Street Address ,City,Zip
BIG MEDICINE LLC,BIG MEDICINE CANNABISSARY,402-00930,2909 North El Paso Street,Colorado Springs,80907
BIOMEDS LLC,BIOMEDS,402-00983,2301 Rand Avenue,Colorado Springs,80905
BLUEGRASS WELLNESS INC,BRIARGATE WELLNESS CENTER,402-00125,"890 Dublin Boulevard, Suite C",Colorado Springs,80918
BOBBY BROWN BEST BUDS LLC,,402-00216,506 South Nevada Avenue,Colorado Springs,80903
BUKU LOUD LLC,BUKU LOUD,402-01176,"3079 South Academy Boulevard,",Colorado Springs,80916
CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,402-00272,506 North Chelton Road,Colorado Springs,80909
CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,402-01026,2218 North Academy Place,Colorado Springs,80909
CANNABICARE INC,THE CARE,402-00110,1466 Woolsey Heights,Colorado Springs,80915
CANNABIS CONNECTION LLC,CANNABIS CONNECTION,402-01018,3170 North  Stone Avenue,Colorado Springs,80907
CC GROUP,HIGH TOPS,402-00248,"2306 North Powers Boulevard, Suite 100",Colorado Springs,80915
COS INVESTMENTS LLC,HIGH HOPES,402-00786,"288 South Academy Boulevard, Suite C",Colorado Springs,80910
CROSSPOINT 3132 LLC,CROSSPOINT MEDICAL CENTER,402-00257,3132 West Colorado Avenue,Colorado Springs,80904
CYS INC,CANNABIS YUMMY STRAINS,402-00864,1675 Jetwing Drive,Colorado Springs,80916
DANKERT CAPITAL LLC,THE DANKERY,402-01044,3745 Interpark Drive,Colorado Springs,80907
DR RELEAF INC,,402-00875,2639 East Willamette Avenue,Colorado Springs,80909
DR RELEAF INC,,402-01078,815 Wooten Road,Colorado Springs,80915
EMERALD CITY WELLNESS LLC,EMERALD CITY WELLNESS,402-00766,"621 West Colorado Avenue,",Colorado Springs,80905
ENLIGHTENED CARE LLC,HIGH COUNTRY HEALING 4,402-00581,1330 West Garden of the Gods Road,Colorado Springs,80907
ERINCARE LLC,THE TREEHOUSE,402-00349,34 -38 Buchanan Street,Colorado Springs,80907
EZ NATURAL ALTERNATIVES LLC,HERBS PLACE,402-00696,"3475 Pine Tree Square, Suite E",Colorado Springs,80909
FLOOBIES LLC,BEMINDFUL,402-01008,403 North Circle Drive,Colorado Springs,80909
FOUNTAIN ORGANICS LLC,FOUNTAIN ORGANICS,402-01016,"5421 Rio Vista Drive, Suite 200",Colorado Springs,80917
FRANKS FARM LLC,FRANKS FARM,402-01019,715 South Circle Drive,Colorado Springs,80910
GAME7 LLC,PINK HOUSE CO SPRINGS,402-00543,700 Juanita Street,Colorado Springs,80909
GARDEN MC LLC,,402-01058,17 Iowa Avenue,Colorado Springs,80909
GARDEN OF THE BUDZ LLC,GARDEN OF THE BUDZ,402-01071,3178 West Colorado Avenue,Colorado Springs,80904
GL INDUSTRIAL,GROW LIFE INC,402-00140,1516 Dustry Drive,Colorado Springs,80905
GM CO SPRINGS LLC,GOLDEN MEDS,402-00815,329 East Pikes Peak Avenue,Colorado Springs,80903
GRANT PHARMS LLC,GRANT PHARMS MMC,402-01153,320 Prairie Road,Colorado Springs,80909
GREEN FARMS LLC,,402-01173,3629 Galley Road,Colorado Springs,80909
GREEN PHARM II LLC,GREEN PHARM,402-01031,"4335 North Academy Boulevard, Suite 100",Colorado Springs,80918
GREEN PHARM LLC,GREEN PHARM,402-00186,325 Delaware Drive,Colorado Springs,80909
H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS,402-01002,"335 North Circle Drive, Suite 101",Colorado Springs,80909
HAPPY BUDDHA WELLNESS CENTER LLC,,402-00763,"3612 Galley Road, Unit C",Colorado Springs,80909
HERBAL HEALING LLC,HERBAL HEALING,402-00954,"1785 North Academy Boulevard, Suite 165",Colorado Springs,80909
HERBAL HEALING LLC,HERBAL HEALING,402-01162,"408 East Fillmore Street, Suite 110",Colorado Springs,80907
HERBAL HEALING LLC,HERBAL HEALING,402-01163,408 East Fillmore Street,Colorado Springs,80907
HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,402-00242,426 West Fillmore Street,Colorado Springs,80907
INDY 2 LLC,INDISPENSARY,402-00959,3044 West Colorado Avenue,Colorado Springs,80904
INDY 3 LLC,INDISPENSARY,402-00549,"3111 North Stone Avenue, Unit 100",Colorado Springs,80907
ITS ALL GOOD ENTERPRISES LLC,GOOD WEED,402-01109,601 East Las Vegas Street,Colorado Springs,80903
J2JCO LLC,FIRE MEDS,402-01167,"1428 North Circle Drive, Unit 2",Colorado Springs,80909
JP LABS LLC,JP WELLNESS,402-00969,4344 Montebello Drive,Colorado Springs,80918
JP LABS LLC,JP WELLNESS,402-01081,2419 West Colorado Avenue,Colorado Springs,80904
JP WELLNESS LLC,,402-00800,1741 South Academy Boulevard,Colorado Springs,80916
KIND THERAPEUTICS INC,,402-00406,5156 Centennial Boulevard,Colorado Springs,80919
KINGS CANNABIZ LLC,KINGS CANNABIZ,402-00565,"2132 East Bijou Street, Suite 114",Colorado Springs,80909
KIRKE LLC,THE HEMP CENTER COLORADO SPRINGS,402-00597,"2501 West Colorado Avenue, Suite 106",Colorado Springs,80904
LIVWELL II LLC,LIVWELL,402-00894,570 North Murray Boulevard,Colorado Springs,80915
LUX INC,THE LUX LEAF,402-01075,2222 West Colorado Avenue,Colorado Springs,80904
MAGGIES FARM LLC,,402-00755,1420 South Nevada Avenue,Colorado Springs,80905
MARI MEDS INC,,402-00069,222 East Moreno Avenue,Colorado Springs,80903
MC STRATEGIC VENTURES LLC,JADE KOLA,402-00351,3750 Astrozon Boulevard Suite140,Colorado Springs,80910
MEDICAL CANNABIS CAREGIVERS INC,MC CAREGIVERS,402-00053,5875 Lehman Drive #100,Colorado Springs,80918
MILE HIGH REMEDIES LLC,DOCTORS ORDERS,402-00645,2106 East Boulder Street,Colorado Springs,80909
MMJ 95 LLC,TWEEDLEAF,402-01201,5495 North Academy Boulevard,Colorado Springs,80918
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,402-00935,523 South Tejon Street,Colorado Springs,80903
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,402-01023,6755 North Academy Boulevard,Colorado Springs,80918
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,402-01072,2354 East Platte Avenue,Colorado Springs,80909
MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,402-01130,3840 North Nevada Avenue,Colorado Springs,80907
NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,402-00247,1216 North Academy Boulevard,Colorado Springs,80909
NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,402-00292,318 South 8th Street,Colorado Springs,80905
NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,402-00868,2103 East Platte Avenue,Colorado Springs,80909
NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,402-00947,975 West Fillmore Street,Colorado Springs,80907
NATURAL MYSTIC CANNABIS CAREGIVERS LLC,,402-00031,"416 East Colorado Avenue, Suite 101",Colorado Springs,80903
NKHAT LLC,FROST HARVEST,402-00591,1324 Garden of the Gods Road,Colorado Springs,80907
NUVUE PHARMA LLC,,402-00389,2304 East Platte Avenue,Colorado Springs,80909
ORIGINAL CANNABIS GROWERS LLC,,402-00090,2625 East Saint Vrain Street,Colorado Springs,80909
P2C3 LLC,THE SECRET STASH,402-00005,"2845 Ore Mill Road, Unit 6",Colorado Springs,80904
PAIN MANAGEMENT SOLUTIONS LLC,HIGH TOPS,402-00116,1022 South Royer Street,Colorado Springs,80903
PIKES PEAK CANNABIS CAREGIVERS LLC,PIKES PEAK CAREGIVERS,402-00123,3715 Drennan Road,Colorado Springs,80910
PIKES PEAK INDUSTRIES LLC,BUD EZ,402-01157,510 East Pikes Peak Avenue,Colorado Springs,80903
PND LLC,A CUT ABOVE,402-00352,1150 East Fillmore Street,Colorado Springs,80907
PNP VENTURES LLC,HEADMASTER,402-00484,3410 North Prospect Street,Colorado Springs,80907
PNP VENTURES LLC,HEADMASTER,402-01174,319 Bonfoy Avenue,Colorado Springs,80909
PURE MEDICAL LLC,PURE MEDICAL,402-00346,130 East Cheyenne Road,Colorado Springs,80906
PURE MEDICAL LLC,PURE MEDICAL,402-00347,"207 West Rockrimmon Boulevard, Unit C",Colorado Springs,80919
QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,402-00063,2398 East Boulder Street,Colorado Springs,80909
QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,402-00512,"1905 North Academy Boulevard, Suite 100",Colorado Springs,80909
RJJ ACADEMY LLC,NATIVE ROOTS ACADEMY,402-01084,1003 North Academy Boulevard,Colorado Springs,80909
RJJ COLORADO SPRINGS LLC,NATIVE ROOTS COLORADO SPRINGS,402-01042,3660 Austin Bluffs Parkway,Colorado Springs,80918
RJJ TEJON LLC,NATIVE ROOTS TEJON,402-01140,1433 South Tejon Street,Colorado Springs,80905
RJJ UINTAH LLC,NATIVE ROOTS UINTAH,402-01083,1705 West Uintah Street,Colorado Springs,80904
ROCKY MOUNTAIN MEDICAL LLC,,402-00667,616 Arrawanna Street,Colorado Springs,80909
ROCKY ROAD REMEDIES LLC,ROCKY ROAD WEST,402-00880,1528-1530 South Nevada Avenue,Colorado Springs,80905
ROCKY ROAD REMEDIES LLC,ROCKY ROAD SOUTH,402-00918,586 South Academy Boulevard,Colorado Springs,80910
ROCKY ROAD REMEDIES LLC,ROCKY ROAD ORIGINAL,402-01168,2489 South Academy Boulevard,Colorado Springs,80916
SDJ LLC,LIVING ROSE WELLNESS,402-01057,212 South 21st Street,Colorado Springs,80904
SLAM ENTERPRISES LLC,NATURALEAF,402-00539,1004 South Tejon Street,Colorado Springs,80903
SLAM ENTERPRISES LLC,NATURALEAF,402-01065,"2727 Palmer Park Boulevard, #D",Colorado Springs,80909
STAINED GLASS INCORPORATED,,402-01034,123 North Union Boulevard,Colorado Springs,80909
STJ APPAREL LLC,FIRE MEDS,402-01170,3615 East Platte Avenue,Colorado Springs,80909
TERPS LLC,TERPS,402-00443,"1000 West Fillmore Street, Suite 105",Colorado Springs,80907
THE 64 STORE LLC,THE 64 STORE,402-00428,502 West Colorado Avenue,Colorado Springs,80905
THE EPIC REMEDY LLC,THE ER,402-00383,1202 East Fillmore Street,Colorado Springs,80907
THE EPIC REMEDY LLC,THE ER,402-01092,3995 North Academy Boulevard,Colorado Springs,80917
THE EPIC REMEDY LLC,THE ER,402-01111,2712 East Fountain Boulevard,Colorado Springs,80910
THE GOLDEN SUMMIT LLC,APOTHEKE,402-01194,2582 South Academy Boulevard,Colorado Springs,80916
THE GREEN HOUSE INC,,402-00058,"410 South 8th Street, Suite B",Colorado Springs,80905
THE HEALING CANNA LLC,,402-00103,22 South Chestnut Street,Colorado Springs,80905
THE HEALING CANNA LLC,,402-00584,3692 East Bijou Street,Colorado Springs,80909
THE HERB SHOPPE LLC,THE HERB SHOPPE,402-00744,3020 West Colorado Avenue Suite D,Colorado Springs,80904
THIRD DAY APOTHECARY MC LLC,THIRD DAY,402-00145,"4865 North Academy Boulevard, Unit B",Colorado Springs,80918
TOTAL GREEN LLC,TOTAL GREEN,402-01154,1125 South Chelton Road,Colorado Springs,80910
TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,402-00232,2117 West Colorado Avenue,Colorado Springs,80904
TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,402-01225,1001 South Royer Street,Colorado Springs,80903
TROY ENTERPRISES LLC,ELEVATIONS,402-01066,8270 Razorback Road,Colorado Springs,80920
WELLNESS CENTERS OF COLORADO LLC,A-WELLNESS CENTERS,402-00513,2918 Wood Avenue,Colorado Springs,80907
WESTSIDE WELLNESS CENTER LLC,MAGGIES FARM,402-00237,818 East Fillmore Street,Colorado Springs,80907
WHITE MOUNTAIN MEDICINE LLC,LIVWELL,402-00618,3234 North Nevada Avenue,Colorado Springs,80907
WHITE STAG FARMS LLC,,402-00439,430 West Colorado Avenue,Colorado Springs,80905
WTJ FAMILY ENTERPRISES LLC,WTJ MMJ SUPPLY,402-00162,1347 North Academy Boulevard,Colorado Springs,80909
FRONT RANGE BOTANICAL LLC,SOUTH PARK FARMA,402-01272,"5715 Fairfax Street, Unit C",Commerce City,80022
N&G ENTERPRISES LLC,LOUD,402-01300,5385 Quebec Street,Commerce City,80022
DURANGO ORGANICS LLP,DO CORTEZ,402-00486,1104 East Main Street,Cortez,81321
MOUNTAIN ANNIES LLC,,402-00396,310 East Main Street,Cortez,81321
THA CORP,THE HERBAL ALTERNATIVE,402-00544,1531 North Lebanon Road,Cortez,81321
SHAUN D HADLEY,CRAIG APOTHECARY,402-00475,611 Breeze Street,Craig,81625
GREEN MEADOWS DISPENSARY LLC,,402-01313,"25 Stafford Lane, Unit 3",Delta,81416
1617 WAZEE STREET LLC,LODO WELLNESS CENTER,402-00017,"1617 Wazee Street, Unit B",Denver,80202
2251SB LLC,,402-00375,2251 South Broadway,Denver,80210
3B FEDERAL1 LLC,BUDDY BOY,402-00751,155 North Federal Boulevard,Denver,80219
3B KALAMATH LLC,BUDDY BOY,402-00745,120 South Kalamath Street,Denver,80223
3B UMATILLA LLC,BUDDY BOY,402-00746,777 North Umatilla Street,Denver,80204
3B-38 LLC,BUDDY BOY,402-00849,4012 West 38th Avenue,Denver,80212
4095 SHELTER LLC,EVERBLOOM,402-00166,4095 Jackson Street,Denver,80216
4625 E COLFAX LLC,THE CLINIC ON COLFAX,402-00135,4625 East Colfax Avenue,Denver,80220
505 CENTER LLC,PURE MEDICAL DISPENSARY,402-00503,505 West 40th Avenue,Denver,80216
5110 SANCTUARY LLC,EVERBLOOM,402-00204,5110 Race Street,Denver,80216
5280 WELLNESS LLC,MMJ AMERICA GOLDEN TRIANGLE,402-00286,1321 Elati Street,Denver,80204
A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,402-00085,2059 West 9th Avenue,Denver,80204
ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,402-00306,"70 Broadway, Suite 50",Denver,80203
ALLGREENS LLC,,402-00001,762 Kalamath Street,Denver,80204
ALPINE HERBAL WELLNESS LLC,FROSTED LEAF,402-00699,"399 South Harrison Street,",Denver,80204
ALTERNATIVE MEDICINE ON CAPITOL HILL LLC,,402-00002,1301 Marion Street,Denver,80218
ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS APOTHECARY,402-00913,"910 16th Street, Suite 805",Denver,80202
ALTITUDE WELLNESS CENTER LLC,NATURES HERBS AND WELLNESS DTC,402-00898,"3435 South Yosemite Street, Suite 200",Denver,80231
AMERICAN INDUSTRY LLC,DENVER CLONE STORE,402-00494,"755 South Federal Boulevard, Suite 5",Denver,80219
ASCEND II LLC,ASCEND II,402-00939,3555 South Yosemite Street,Denver,80237
ASPEN FOREST LLC,MARY JANE'S HOUSE,402-00243,3899 Quentin Street,Denver,80239
BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,,402-00583,1755 South Broadway,Denver,80210
BALLPARK HOLISTIC DISPENSARY CORP,BALLPARK HOLISTIC DISPENSARY,402-00174,"2119 Larimer Street, Suite 1",Denver,80205
BEYOND BROADWAY LLC,LIVWELL,402-00902,432 South Broadway,Denver,80209
BGOOD VENTURES LLC,BGOOD APOTHECARY,402-00670,80 South Pennsylvania Street,Denver,80209
BK HOLDINGS LLC,THE HERBAL CENTER,402-00941,12005 East 37th Avenue,Denver,80239
BK HOLDINGS LLC,THE HERBAL CENTER,402-01079,1909 South Broadway,Denver,80210
BUD BUM LLC,BUD BUM,402-00065,"1325 South Inca Street, Unit A",Denver,80223
BUDDIES WELLNESS LLC,LA BODEGA,402-00241,"1270 West Cedar Avenue, Suite A,",Denver,80223
CANNABIS FOR HEALTH LLC,PIG N WHISTLE,402-00934,4801 West Colfax Avenue,Denver,80204
CAREGIVERS FOR LIFE LLC,,402-00301,310 Saint Paul Street,Denver,80206
CG INDUSTRY LLC,CROSS GENETICS,402-00867,2440 West Evans Avenue,Denver,80219
CG INDUSTRY LLC,CROSS GENETICS,402-01064,"4902 East Smith  Road, Unit C",Denver,80216
CITI-MED LLC,STARBUDS,402-00170,1640 East Evans Avenue,Denver,80210
CJJ SERVICES LLC,SACRED SEED,402-00240,5885 East Evans Avenue,Denver,80222
CO-AGRONOMICS LLC,THE GREEN DEPOT,402-01060,4414 Vine Street,Denver,80216
COLORADO CANNABIS COMPANY LLC,PURE MEDICAL DISPENSARY,402-01012,1133 Bannock Street,Denver,80204
COLORADO CANNABIS SERVICES LLC,GREEN CROSS CAREGIVERS,402-00399,"1842 South Parker Road, Unit 18",Denver,80231
COLORADO COLITAS LLC,HERBAL REMEDIES,402-00653,5109 West Alameda Avenue,Denver,80223
COLORADO FARMS INC,,402-01010,11975 East 40th Avenue,Denver,80239
COLORADO WELLNESS CENTERS LLC,LUSH,402-00059,2490 West 2nd Avenue,Denver,80223
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,402-00049,1233 West Alameda Avenue,Denver,80223
COMPASSIONATE CARE GIVERS INC,CANNABIS STATION,402-00050,1201 20th Street,Denver,80202
COMPASSIONATE CARE GIVERS INC,ROCKY MOUNTAIN HIGH,402-00051,1538 Wazee Street Suite 100,Denver,80202
CONCENTRATE LLC,WOLF PAC CANNABIS,402-00165,2420 South Colorado Boulevard,Denver,80222
CONCENTRATE LLC,WOLF PAC CANNABIS,402-00957,74 North Federal Boulevard,Denver,80219
CURE MEDICAL PHARM INC,RIVERROCK,402-00043,"990 West 6th Avenue, Suite 5",Denver,80204
D & D CONSULTING INC,SOUTHWEST ALTERNATIVE CARE FOX ST,402-00573,"1075 South Fox Street,",Denver,80223
DELTA-9 DELIGHTS LLC,REEFER MADNESS,402-00409,4401 East 46th Avenue Suite B,Denver,80216
DENCO LLC,,402-00857,"3480 Park Avenue West, Unit B",Denver,80216
DENCO LLC,,402-00870,5155 East 46th Avenue,Denver,80216
DENVER DISPENSARY LLC,DENVER DISPENSARY,402-00827,4975 North Vasquez Boulevard,Denver,80216
DENVER PATIENTS GROUP LLC,LIVWELL,402-00998,2863 Larimer Street,Denver,80205
DGS INC,THE KIND ROOM,402-00498,1881 South Broadway,Denver,80210
DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,402-00262,2028 East Colfax Avenue,Denver,80206
DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,402-00263,970 North Lincoln Street,Denver,80203
DJR COLORADO LLC,HIGH LEVEL HEALTH,402-00911,"1620 Market Street, Suite 5W",Denver,80202
DKC LLC,DENVER KUSH CLUB,402-00545,2615 Welton Street,Denver,80205
DOCTORS ORDERS LLC,DOCTORS ORDERS,402-00714,1406 West 38th Avenue,Denver,80211
E2T2 LLC,DIEGO PELLICER,402-00768,2057 South Broadway,Denver,80210
EAGLE RIVER INVESTMENTS LLC,,402-01310,5238 West 44th Avenue,Denver,80212
FIREHOUSE ORGANICS CENTRAL LLC,FIREHOUSE ORGANICS,402-00656,543 Bryant Street,Denver,80204
FOX STREET WELLNESS LLC,FOX CANNABIS,402-00806,4773 Fox Street,Denver,80216
FUTUREVISION LTD,MEDICINE MAN,402-00088,4750 Nome Street,Denver,80239
GANJA GOURMET LLC,GANJA GOURMET,402-00655,1810 South Broadway,Denver,80210
GAS AND GRASS LLC,ROLLUP,402-00096,"4500 North Washington Street, Unit B",Denver,80216
GM 4401 LLC,GOLDEN MEDS,402-00299,4401 Zenobia Street,Denver,80212
GMC LLC,GREEN MAN CANNABIS,402-00919,7289 East Hampden Avenue,Denver,80224
GOLDEN MEDS INC,GM ENTERPRISE INC,402-00788,4620 Peoria Street,Denver,80239
GREEN AROUND YOU LLC,GOLDEN MEDS INC,402-00066,"970 South Oneida Street, Unit 17",Denver,80224
GREEN CROSS LLC,GREEN CROSS OF CHERRY CREEK,402-00087,3400 South Oneida Way Suite 101,Denver,80224
GREEN FIELDS LLC,GREENFIELDS,402-00854,1798 West Mississippi Avenue,Denver,80223
GREEN GARDENS LLC,GREEN FIELDS,402-01080,2038 South Navajo Street,Denver,80223
GREEN KIWI 1 LLC,LIVWELL,402-00018,3955 North Oneida Street,Denver,80207
GREEN KIWI 2 LLC,LIVWELL,402-00981,1660 North Pearl Street,Denver,80203
GREEN KIWI 2 LLC,LIVWELL,402-00982,"3980 Franklin Street, Unit 101",Denver,80205
GREEN LEAF LLC,,402-00012,"2280 South Quebec Street, Unit G",Denver,80231
GREENER PASTURE COMPASSION CENTER LLC,VERDE NATURAL,402-00207,5101 East Colfax Avenue,Denver,80220
GT VENTURES I LLC,PANDO,402-00180,777 Canosa Court Unit 102,Denver,80204
HADCAV ENTERPRISES INC,PURE MEDICAL DISPENSARY,402-00504,5702 East Colfax Avenue,Denver,80220
HERBAL ALTERNATIVES LLC,NEW BROADSTERDAM,402-00687,2568 South Broadway,Denver,80210
HERBAL ALTERNATIVES LLC,SUNNYSIDE DISPENSARY,402-01020,4755 North Lipan Street,Denver,80211
HERBAL HEALTH LLC,LOCAL PRODUCT OF COLORADO,402-00585,419 West 13th Avenue,Denver,80204
HG LTD,HIGHER GRADE,402-00041,3111 West 38th Avenue,Denver,80211
HG LTD,HIGHER GRADE,402-00649,1269 North Elati Street,Denver,80204
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402-00179,1178 South Kalamath Street,Denver,80223
HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402-00418,1568 South Broadway,Denver,80210
HIGH STREET GROWERS LLC,,402-00376,330 Federal Boulevard,Denver,80219
HIGHLANDS WELLNESS CENTER LLC,THE CLINIC HIGHLANDS,402-00137,3460 West 32nd Avenue,Denver,80211
HOBBY FARMS LLC,A CUT ABOVE,402-00455,1911 South Broadway,Denver,80210
HOLLY MEDICINAL SERVICES LLC,THE CLINIC ON COLORADO,402-00872,2020 South Colorado Boulevard,Denver,80222
IHN HOLDINGS LLC,5280 WEEDERY LLC,402-01237,3895 East 45th Avenue,Denver,80216
JGB VENTURES LLC,DANK,402-00011,"3835 North Elm Street, Unit C",Denver,80207
JOIS LLC,SILVER STEM FINE CANNABIS,402-00330,3702 West Quincy Avenue,Denver,80236
JPJR AND ASSOCIATES LLC,STASH HOUSE,402-01093,4707 Lipan Street,Denver,80211
JVJC HOLDINGS II LLC,,402-00916,105 East 7th Avenue,Denver,80203
JVJC HOLDINGS III LLC,,402-00113,5194 North Washington Street,Denver,80216
JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,402-00942,4550 South Kipling Street #4,Denver,80127
KARMACEUTICALS LLC,KARMACEUTICALS,402-00693,4 South Santa Fe Drive,Denver,80223
KAZIMER LLC,,402-00453,6666 East Stapleton Drive South,Denver,80216
KGBI COLORADO LLC,SPARK DISPENSARY,402-00429,3900 East 48th Avenue,Denver,80216
KTA LLC,THE LODGE,402-01007,3944 North High Street,Denver,80205
LBW CONSULTING GROUP LLC,SEED & SMITH,402-01187,5070 North Oakland Street,Denver,80239
LEVELS IV INC,,402-01077,5201 West 48th Avenue,Denver,80212
